0000000001,E,en,Notify
0000000002,E,en,Drive
0000000003,E,en,Sensor
0000000004,E,en,Navigation
0000000005,E,en,Power
0000000101,E,en,System power up
0000000102,E,en,GPS initialised
0000000103,E,en,Inertial
0000000104,E,en,Inertial initialised
0000000105,E,en,Compass initialised
0000000106,E,en,Arming
0000000107,E,en,Armed
0000000108,E,en,Camera
0000000109,E,en,Communication tick
0000000110,E,en,Compass
0000000111,E,en,Distance
0000000112,E,en,Thrust
0000000113,E,en,Battery
0000000114,E,en,GPS position
0000000115,E,en,GPS satellites
0000000116,E,en,GPS velocity
0000000117,E,en,Heading
0000000118,E,en,Map toggle
0000000119,E,en,Map zoom
0000000120,E,en,Rotate
0000000121,E,en,Stop
0000000122,E,en,Thrust failsafe
0000000123,E,en,Power failsafe
